"Domain","Owner"
"amazon.com.br","Amazon Servicos de Varejo do Brasil Ltda."
"amazon.ca","Amazon Technologies, Inc."
"amazon.com.mx","Amazon Technologies, Inc."
"amazon.com","Amazon Technologies, Inc."
"amazon.cn","北京世纪卓越信息技术有限公司"
"amazon.in","Amazon Technologies, Inc."
"amazon.co.jp","Amazon, Inc."
"amazon.sg","AMAZON TECHNOLOGIES, INC."
"amazon.com.tr","Amazon Europe Holding Technologies SCS"
"amazon.ae","Amazon Technologies, Inc."
"amazon.fr","Amazon Europe Core S.à.r.l."
"amazon.de","Unknown"
"amazon.it","Amazon Europe Core S.à.r.l."
"amazon.nl","Unknown"
"amazon.es","Unknown"
"amazon.co.uk","Amazon.com, Inc."
"amazon.com.au","Amazon Corporate Services Pty Ltd"
